Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,650.25,650.25,650.25,650.25,650.25,0
2017-10-31,650.0,650.0,650.0,650.0,650.0,0
2017-11-01,670.0,670.0,670.0,670.0,670.0,0
2017-11-02,667.5,667.5,667.5,667.5,667.5,0
2017-11-03,663.5,663.5,663.5,663.5,663.5,0
2017-11-06,657.75,657.75,657.75,657.75,657.75,0
2017-11-07,660.0,660.0,660.0,660.0,660.0,0
2017-11-08,666.25,666.25,666.25,666.25,666.25,0
2017-11-09,664.25,664.25,664.25,664.25,664.25,0
2017-11-10,666.25,666.25,666.25,666.25,666.25,0
2017-11-13,660.5,660.5,660.5,660.5,660.5,0
2017-11-14,654.75,654.75,654.75,654.75,654.75,0
2017-11-15,654.75,654.75,654.75,654.75,654.75,0
2017-11-16,658.25,658.25,658.25,658.25,658.25,0
2017-11-17,656.5,656.5,656.5,656.5,656.5,0
2017-11-20,648.5,648.5,648.5,648.5,648.5,0
2017-11-21,648.5,648.5,648.5,648.5,648.5,0
2017-11-22,651.25,651.25,651.25,651.25,651.25,0
